Relation,Entity1,Entity2
inaugurates,PM Modi,Rs 8500 crore worth projects in Tripura
Unveils,PM Modi,"Projects Worth Over Rs 4,500 Crore In Bengal"
unveils,PM Modi,"projects worth Rs 55,600 crore in Northeast, including strategic Sela tunnel"
Attracts,Tax Breaks: Corporate Transparency Act Ruling,Attention As Tax Season Rolls On
Hold,Navy Officials,a Press Briefing on President Biden's Fiscal 2025 Navy Budget
unveils,PM Modi,"125-ft tall statue of Lachit Barphukan at Hollongapar; launches projects worth Rs 17,500 cr"
unveils,PM Modi,development projects of over Rs 4500 crore in West Bengal
unveils,Prime Minister Narendra Modi,125-feet tall statue of medieval-era Ahom general Lachit Borphukan
unveils,PM Modi,Rs 290 Crore Development Projects in the state
unveils,PM,Rs 290 crore development projects in Meghalaya
